kernel_name,depth,target_factor_id,target_projlen,target_typical_projlen,target_surprise,target_surprise_z,target_periodic_distance,target_periodic_score,target_descent_score,target_mcts_value,target_breakout_value,target_kernel_match,generated_children,driver_frontier_size,paper_num_buckets,paper_bucket_arrivals,paper_bucket_kept,paper_bucket_survival_probability,paper_natural_reservoir_contains_target,paper_global_bucket_selected,paper_natural_selected,paper_step_survival_probability,paper_cumulative_log10_survival,paper_selected_frontier_size,periodic_bucket_kept,periodic_target_in_bucket,periodic_target_selected,periodic_selected_frontier_size,periodic_score_best_rank,periodic_score_worst_rank,periodic_descent_best_rank,periodic_descent_worst_rank,mcts_value_best_rank,mcts_value_worst_rank,mcts_proxy_selected_at_beam_width,breakout_value_best_rank,breakout_value_worst_rank,breakout_proxy_selected_at_beam_width,crispr_sample_size,crispr_endpoint_sample_best_rank,crispr_endpoint_sample_worst_rank,crispr_endpoint_sample_percentile,crispr_endpoint_estimated_population_rank,crispr_endpoint_island_capacity,crispr_endpoint_proxy_selected,crispr_envelope_sample_best_rank,crispr_envelope_sample_worst_rank,crispr_envelope_sample_percentile,crispr_envelope_estimated_population_rank,crispr_envelope_island_capacity,crispr_envelope_proxy_selected,crispr_collapse_sample_best_rank,crispr_collapse_sample_worst_rank,crispr_collapse_sample_percentile,crispr_collapse_estimated_population_rank,crispr_collapse_island_capacity,crispr_collapse_proxy_selected,crispr_suffix_sample_best_rank,crispr_suffix_sample_worst_rank,crispr_suffix_sample_percentile,crispr_suffix_estimated_population_rank,crispr_suffix_island_capacity,crispr_suffix_proxy_selected,crispr_sample_population_seen,paper_forced_for_continuation,driver_next_frontier_size
p5_length54,32,4,28,77.03906249999999,49.039062499999986,16.99991124649167,205.75,16.374220483649665,-16.821528751754165,17.015828546115515,10.403471778561837,False,45546,7996,11,3707,3000,0.8092797410304828,False,True,False,0.8092797410304828,-4.070056886723497,8073,3000,True,True,12529,1305,1305,776,776,2074,5780,False,1138,1148,False,1000,114,114,0.887,5651,12500,True,221,220,0.78,11001,12500,True,14,13,0.987,651,12500,True,964,963,0.03700000000000003,48151,12500,False,45546,True,8074
p5_length54,33,13,29,79.42187500000004,50.42187500000004,16.954644170672182,207.25,15.715284982370836,-20.83669306617906,16.9705346378439,10.377061904804718,False,45182,8074,11,5031,3000,0.5963029218843172,False,True,False,0.5963029218843172,-4.294589949329583,8469,3000,True,True,12945,7396,7415,7449,7468,5873,10903,False,5993,10903,False,1000,253,253,0.748,12601,12500,False,253,253,0.748,12601,12500,False,69,75,0.9319999999999999,3402,12500,True,997,996,0.0040000000000000036,49801,12500,False,45182,True,8470
p5_length54,34,4,28,81.82812500000004,53.82812500000004,17.55372013369777,214.25,16.56970838487569,-17.538213462562883,17.570181564797988,11.345708181105568,False,46948,8470,10,4592,3000,0.6533101045296167,True,True,True,0.6533101045296167,-4.479470573999838,7913,3000,True,True,12475,2557,2558,1106,1107,1914,6505,False,876,884,False,1000,117,116,0.884,5801,12500,True,240,239,0.761,11951,12500,True,31,30,0.97,1501,12500,True,996,995,0.0050000000000000044,49751,12500,False,46948,False,7913
p5_length54,35,13,27,84.24218749999994,57.24218749999994,18.38240168249017,203.75,19.68857497042817,-8.699870587326345,18.3994047413526,12.34586344228004,False,44261,7913,11,1428,1428,1.0,True,True,True,1.0,-4.479470573999838,7872,3000,True,True,12345,97,97,25,25,788,2215,False,398,405,False,1000,44,43,0.957,2151,12500,True,234,233,0.767,11651,12500,True,9,8,0.992,401,12500,True,992,991,0.009000000000000008,49551,12500,False,44261,False,7872
p5_length54,36,21,25,86.65625,61.65625,19.47538666924172,189.75,22.767791499479944,2.9312945250970506,19.4931800720195,13.547877008981365,False,44716,7872,11,128,128,1.0,True,True,True,1.0,-4.479470573999838,8158,384,True,True,12268,9,9,1,1,20,147,True,4,4,True,1000,5,4,0.996,201,12500,True,293,292,0.708,14601,12500,False,1,0,1.0,1,12500,True,979,978,0.02200000000000002,48901,12500,False,44716,False,8158
p5_length54,37,20,26,89.07812499999996,63.07812499999996,19.41023653724324,182.75,20.393291140472694,-10.256126905123557,19.427969864320314,13.317339843336335,False,46554,8158,10,206,206,1.0,True,True,True,1.0,-4.479470573999838,9297,618,True,True,11453,102,102,62,62,101,306,False,209,323,False,1000,5,4,0.996,201,12500,True,278,277,0.723,13852,12500,False,1,0,1.0,1,12500,True,970,969,0.031000000000000028,48451,12500,False,46554,False,9297
p5_length54,38,13,25,91.44531250000003,66.44531250000003,20.443342376619572,170.25,24.21742919087539,3.1976580304150506,20.46153168887591,14.888222912455332,False,52931,9297,12,96,96,1.0,True,True,True,1.0,-4.479470573999838,8769,288,True,True,13134,2,2,1,1,15,110,True,18,20,True,1000,6,5,0.995,251,12500,True,168,167,0.833,8351,12500,True,1,0,1.0,1,12500,True,880,879,0.121,43951,12500,False,52931,False,8769
p5_length54,39,20,26,93.89843749999996,67.89843749999996,20.481830219343994,167.75,21.699373953109603,-8.345577564320676,20.499962297335447,14.829808935546549,False,51185,8769,12,142,142,1.0,True,True,True,1.0,-4.479470573999838,8363,426,True,True,12811,92,92,30,30,89,230,False,185,247,False,1000,12,11,0.989,551,12500,True,158,157,0.843,7851,12500,True,1,0,1.0,1,12500,True,797,796,0.20399999999999996,39801,12500,False,51185,False,8363
p5_length54,40,13,25,96.265625,71.265625,21.098542216631774,168.25,22.905281503312075,-1.6324699631126847,21.117099363622515,15.95546293573224,False,49165,8363,11,79,79,1.0,True,True,True,1.0,-4.479470573999838,7894,237,True,True,12321,30,30,3,3,29,107,True,31,34,True,1000,5,4,0.996,201,12500,True,120,119,0.881,5951,12500,True,1,0,1.0,1,12500,True,685,684,0.31599999999999995,34201,12500,False,49165,False,7894
p5_length54,41,21,25,98.6640625,73.6640625,21.247182244086215,166.25,22.957986917743934,-4.864867066110203,21.265908347857668,16.22516596949006,False,46128,7894,11,79,79,1.0,True,True,True,1.0,-4.479470573999838,8037,237,True,True,12369,29,29,12,12,29,107,True,37,63,True,1000,3,2,0.998,101,12500,True,117,116,0.884,5801,12500,True,2,1,0.999,51,12500,True,514,513,0.487,25651,12500,False,46128,False,8037
