kernel_id,depth,projlen,support_width,typical_projlen,surprise,surprise_z,kernel_match,kernel_type
0,44,20,21,106.0234374999999,86.0234374999999,24.150530445176685,False,
0,45,19,20,108.44433593750001,89.44433593750001,24.99813522820162,False,
0,46,16,17,110.84765624999996,94.84765624999996,26.202541291048075,False,
0,47,14,15,113.23632812500001,99.23632812500001,26.977170474023204,False,
0,48,12,13,115.6494140624999,103.6494140624999,27.945325310590952,False,
0,49,10,11,118.04589843749994,108.04589843749994,28.77734882065239,False,
0,50,8,9,120.45898437500001,112.45898437500001,29.668716245671227,False,
0,51,6,7,122.888671875,116.888671875,30.725680406449033,False,
0,52,4,5,125.29394531250003,121.29394531250003,31.50169577843704,False,
0,53,2,3,127.70800781250003,125.70800781250003,32.1812983191704,False,
0,54,0,1,130.1005859375003,130.1005859375003,32.94585569177725,True,delta
1,1,2,3,2.5312499999999996,0.5312499999999996,0.5312499999999996,False,
1,2,4,5,4.919921874999997,0.9199218749999973,0.9199218749999973,False,
1,3,6,7,7.3037109375000036,1.3037109375000036,1.3037109375000036,False,
1,4,8,9,9.718750000000016,1.718750000000016,1.6797930985143905,False,
1,5,10,11,12.133789062500009,2.133789062500009,1.8393917554886752,False,
1,6,12,13,14.56640624999999,2.5664062499999893,2.0284982566610266,False,
1,7,14,15,16.96777343749998,2.9677734374999787,2.166332549480867,False,
1,8,15,16,19.373046874999993,4.373046874999993,3.0168493197954485,False,
1,9,16,17,21.783203124999986,5.783203124999986,3.695105989248842,False,
1,10,17,18,24.19042968749997,7.190429687499972,4.395280028332131,False,
1,11,20,21,26.592773437500007,6.592773437500007,3.8062238558995083,False,
1,12,21,22,29.027343750000007,8.027343750000007,4.3552955152335855,False,
1,13,22,23,31.440429687500014,9.440429687500014,4.88130913341408,False,
1,14,22,23,33.83203125000006,11.832031250000057,5.879412421982838,False,
1,15,23,24,36.25781249999999,13.257812499999993,6.410237703763029,False,
1,16,22,23,38.66308593750008,16.663085937500078,7.855681489769753,False,
1,17,23,24,41.05078124999994,18.050781249999943,8.216492258678159,False,
1,18,23,24,43.45703125000002,20.45703125000002,9.117424994528024,False,
1,19,24,25,45.89746093749999,21.897460937499993,9.493863768064585,False,
1,20,24,25,48.301757812499936,24.301757812499936,10.211637119886065,False,
1,21,24,25,50.708007812499964,26.708007812499964,10.852613076872784,False,
1,22,25,26,53.12988281249994,28.129882812499943,11.25021517385331,False,
1,23,24,25,55.54101562499992,31.541015624999922,12.24429266385334,False,
1,24,26,27,57.927734375000014,31.927734375000014,12.106791882653605,False,
1,25,27,28,60.34765625000007,33.34765625000007,12.473205610567819,False,
1,26,28,29,62.732421875000036,34.732421875000036,12.730543736321911,False,
1,27,28,29,65.12402343749994,37.12402343749994,13.317717674544737,False,
1,28,28,29,67.51757812499999,39.517578124999986,13.992376362351711,False,
1,29,28,29,69.90624999999993,41.90624999999993,14.766561039851977,False,
1,30,29,30,72.30664062500004,43.30664062500004,15.154879574165363,False,
1,31,28,29,74.7177734375,46.7177734375,16.048133094421114,False,
1,32,29,30,77.12304687499999,48.123046874999986,16.267426880788594,False,
