control_id,depth,projlen,surprise,surprise_z
44,9,22,-0.26464843750002487,-0.16532952632722248
44,10,25,-0.8701171874999787,-0.5216978596165418
44,11,28,-1.4414062500000142,-0.831183399490701
44,12,30,-1.0634765625000142,-0.5820742624024777
44,13,33,-1.6572265625000249,-0.8654945122400538
44,14,36,-2.241210937499993,-1.1152463975802158
44,15,38,-1.8300781250000284,-0.8748656672083909
44,16,41,-2.437500000000007,-1.1410824279985883
44,17,44,-3.034179687499993,-1.3757752542838315
44,18,46,-2.6376953125000213,-1.1596542532970944
44,19,48,-2.2275390624999503,-0.9463436247018551
44,20,50,-1.8212890625,-0.7517711462904668
44,21,52,-1.4208984374999787,-0.5728640041981499
44,22,55,-2.0429687500000284,-0.8041891011272106
44,23,58,-2.657226562499993,-1.021035743074696
44,24,60,-2.2792968750000284,-0.8592689875739445
44,25,62,-1.8603515625000355,-0.689603736867057
44,26,65,-2.4414062500000497,-0.8827749584071786
44,27,68,-3.0205078124999147,-1.0761896394594437
44,28,70,-2.628906249999929,-0.9275913395492318
44,29,72,-2.2431640625001137,-0.780013409139766
44,30,74,-1.838867187500071,-0.6225845628897919
44,31,77,-2.446289062500014,-0.8062843808612358
44,32,79,-2.015625000000014,-0.653442622899122
44,33,82,-2.603515624999986,-0.8327586016966073
44,34,84,-2.1855468750000995,-0.686557177120993
44,35,87,-2.799804687499872,-0.8728401119139585
44,36,90,-3.364257812499986,-1.042236238726838
44,37,93,-3.9443359374999716,-1.2002543206449658
44,38,96,-4.528320312500071,-1.3556063627909367
44,39,99,-5.134765624999929,-1.5192757533186851
44,40,102,-5.737304687500014,-1.6755509742382337
44,41,104,-5.318359374999957,-1.5273228786974384
44,42,107,-5.911132812500114,-1.6731372516663319
44,43,109,-5.487304687500043,-1.5403834734931132
44,44,111,-5.075195312500213,-1.4102483030801425
44,45,114,-5.670898437499957,-1.5468096472389676
44,46,116,-5.2666015624999005,-1.4256804160495524
44,47,118,-4.854492187499929,-1.305956800520843
44,48,120,-4.443359374999943,-1.182974113710512
44,49,122,-4.0439453125000995,-1.0666938234652166
44,50,125,-4.666015625000014,-1.2193582656202953
44,51,128,-5.262695312500028,-1.3679754454658015
44,52,130,-4.879882812500043,-1.2581276785108162
44,53,132,-4.504882812500071,-1.1475216551764034
44,54,135,-5.091796875,-1.281854333642118
45,1,2,0.5253906250000075,0.5253906250000075
45,2,4,0.9218750000000018,0.9218750000000018
45,3,6,1.3007812500000053,1.3007812500000053
45,4,9,0.6914062499999964,0.663016227367156
45,5,11,1.093749999999993,0.9373036854758013
45,6,13,1.496093750000007,1.1458435665672202
45,7,15,1.90234375,1.371476613969513
45,8,18,1.321289062500007,0.8863549463201813
45,9,20,1.7353515624999751,1.0840980379462823
45,10,23,1.1298828125000213,0.6774460421732492
45,11,26,0.5585937499999858,0.3221117239218592
45,12,28,0.9365234374999858,0.512588813263508
45,13,30,1.3427734374999751,0.7012698611255357
45,14,32,1.758789062500007,0.8751890030684022
45,15,34,2.1699218749999716,1.0373273812897486
45,16,37,1.562499999999993,0.7314630948708845
45,17,39,1.965820312500007,0.8913535844458864
45,18,41,2.3623046874999787,1.0385796515089314
45,19,44,1.7724609375000497,0.7530090656878359
45,20,47,1.1787109375,0.48653499923463456
45,21,50,0.5791015625000213,0.23347653229520304
45,22,52,0.9570312499999716,0.37672338389322757
45,23,54,1.342773437500007,0.5159588925864455
45,24,57,0.7207031249999716,0.27169687781899665
45,25,60,0.13964843749996447,0.05176552985404839
45,26,63,-0.44140625000004974,-0.1596057124800326
45,27,66,-1.0205078124999147,-0.36360109060299267
45,28,69,-1.628906249999929,-0.5747482742823525
45,29,72,-2.2431640625001137,-0.780013409139766
45,30,75,-2.838867187500071,-0.9611541817953267
45,31,78,-3.446289062500014,-1.135879273476765
45,32,80,-3.015625000000014,-0.9776312110041105
45,33,83,-3.603515624999986,-1.1526178695650733
45,34,85,-3.1855468750000995,-1.0006923645078853
45,35,87,-2.799804687499872,-0.8728401119139585
45,36,89,-2.364257812499986,-0.732439458333141
45,37,91,-1.9443359374999716,-0.5916579233483806
