parent_id,action,child_id
91,12,2095
91,18,2359
91,1,2666
91,16,2865
92,10,199
92,7,335
92,20,420
92,8,529
92,1,639
92,4,727
92,9,837
92,6,925
92,21,1035
92,18,1145
92,11,1233
93,4,431
93,18,652
93,1,849
94,13,458
94,12,745
94,2,984
94,3,1154
94,16,1459
95,4,421
95,1,645
95,18,957
96,1,365
96,4,584
96,18,845
97,3,208
97,16,345
97,12,430
97,13,545
97,2,655
98,1,297
98,18,688
98,4,931
99,20,402
99,1,667
99,10,935
99,7,1155
99,11,1442
99,9,1658
99,6,1899
99,18,2141
99,8,2383
99,21,2581
99,4,2755
100,18,438
100,1,657
100,4,804
101,16,207
101,13,315
101,12,441
101,2,552
101,3,640
102,6,436
102,9,767
102,8,1141
103,13,483
103,3,638
103,12,857
103,2,1121
103,16,1341
104,20,299
104,1,578
104,11,752
104,18,1058
104,21,1234
104,7,1589
104,8,1829
104,10,2114
104,9,2335
104,6,2599
104,4,2886
105,12,171
105,3,278
105,16,393
105,2,500
105,13,631
106,13,318
106,2,560
106,16,776
106,12,1059
106,3,1257
107,4,428
107,18,716
107,21,961
107,20,1223
107,8,1467
107,6,1713
107,1,1932
107,11,2172
107,7,2411
107,10,2653
107,9,2896
108,16,726
108,12,924
108,3,1188
108,13,1518
108,2,1821
109,2,506
109,3,761
109,12,1096
109,16,1429
109,13,1781
110,3,517
110,12,916
110,16,1269
110,2,1572
110,13,1882
111,1,203
111,4,338
111,18,425
112,12,333
112,16,598
112,13,819
112,3,1152
112,2,1439
113,12,157
113,2,290
113,3,354
113,13,485
113,16,595
114,2,488
114,13,737
114,16,891
114,12,1086
114,3,1373
115,3,298
115,13,671
115,16,934
115,12,1111
115,2,1377
116,20,289
116,8,532
116,9,751
116,7,996
116,1,1284
116,6,1530
116,4,1788
116,21,2031
116,11,2227
116,10,2447
116,18,2710
117,16,346
117,2,610
117,3,878
117,13,1053
117,12,1251
118,9,448
118,6,710
118,8,953
119,16,586
119,12,938
119,2,1337
119,3,1671
119,13,1869
120,8,234
120,9,321
120,6,451
121,2,348
121,12,679
121,16,892
121,3,1112
121,13,1330
122,9,319
122,13,599
122,6,795
122,17,1014
122,14,1303
122,2,1501
122,16,1741
122,15,2005
122,12,2247
122,3,2577
122,8,2798
123,5,424
123,4,648
123,12,868
123,2,1066
123,16,1331
123,18,1551
123,3,1876
123,13,2119
123,1,2361
123,19,2623
123,22,2866
124,8,237
124,6,322
124,9,437
125,1,184
125,21,336
125,20,397
125,8,530
125,18,618
125,6,750
125,10,883
125,11,995
125,4,1083
125,9,1214
125,7,1324
126,12,294
126,13,539
126,16,755
126,2,1037
126,3,1323
127,2,327
127,16,635
127,3,762
127,12,959
127,13,1157
128,4,306
128,10,681
128,20,813
128,8,1033
128,18,1297
128,21,1582
128,6,1843
128,11,2083
128,7,2347
128,1,2610
128,9,2851
129,3,384
129,13,694
129,2,940
129,12,1180
129,16,1400
130,8,481
130,9,682
130,6,880
131,6,429
131,9,651
131,8,827
132,2,462
132,12,654
132,13,854
132,3,1051
132,16,1250
133,16,422
133,2,687
133,3,843
133,13,1109
133,12,1351
134,6,690
134,8,1479
134,9,2028
135,15,388
135,14,606
135,16,803
135,8,1023
135,17,1265
135,12,1531
135,3,1751
135,2,1993
135,9,2235
135,6,2456
135,13,2701
136,18,903
136,4,1387
136,1,2047
137,4,378
137,1,663
137,18,951
138,18,403
138,1,582
138,4,841
139,4,341
139,12,513
139,13,773
139,5,1036
139,2,1281
139,18,1567
139,22,1873
139,19,2049
139,1,2269
139,16,2534
139,3,2731
140,12,273
140,3,623
140,2,842
140,13,1085
140,16,1327
141,6,456
141,8,656
141,9,834
142,6,311
142,7,622
142,20,847
142,8,1064
142,4,1286
142,21,1527
142,1,1771
142,18,2035
142,10,2299
142,11,2496
142,9,2717
143,8,304
143,9,548
143,6,852
144,8,453
144,6,630
144,9,829
145,21,744
145,18,1252
145,1,1804
145,11,2375
145,4,2903
145,20,3453
145,6,4002
145,7,4552
145,9,5101
145,10,5651
145,8,6201
146,3,468
146,2,712
146,13,956
146,12,1200
146,16,1419
147,3,905
147,16,1454
147,13,2007
147,2,2668
147,12,3219
148,8,351
148,6,572
148,9,923
149,10,743
149,9,783
149,21,1113
149,8,1444
149,6,1754
149,7,2085
149,11,2482
149,4,2834
149,1,3164
149,18,3428
149,20,3825
150,1,941
150,18,1380
150,4,1928
151,1,474
151,18,605
151,4,896
152,13,470
152,16,673
152,2,741
152,12,939
152,3,1117
153,12,371
153,3,570
153,13,770
153,16,968
153,2,1166
154,3,418
154,13,676
154,2,877
154,12,1008
154,16,1206
155,1,357
155,4,531
155,18,775
156,12,1962
156,3,3262
156,2,4251
156,16,5526
156,13,6913
157,8,815
157,6,1475
157,9,2267
158,3,276
158,2,562
158,16,824
158,19,1045
158,4,1288
158,18,1509
158,13,1773
158,12,2081
158,1,2324
158,5,2523
158,22,2810
159,6,444
159,8,707
159,9,908
160,2,320
160,12,535
160,16,821
160,13,1041
160,3,1282
161,6,288
161,9,600
161,1,869
161,10,1153
161,21,1348
161,8,1683
161,7,1859
161,18,2078
