prime,word_index,kernel_length,prefix_length,precursor_projlen,precursor_identity_defect,power,power_projlen,power_identity_defect,kernel_word_digest,precursor_word_digest,sources,precursor_factor_ids,kernel_factor_ids
3,63,24,1,4,6,3,1,0,ff825539518ab3d5cf209410def03b85fdf7e374,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,11,11 13 11 16 3 4 13 7 20 13 10 13 4 2 13 11 22 13 10 13 8 13 10 13
3,63,24,17,13,35,3,1,0,ff825539518ab3d5cf209410def03b85fdf7e374,41783a44dfef241e91f2abefd3543d4a40823f42,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,11 13 11 16 3 4 13 7 20 13 10 13 4 2 13 11 22,11 13 11 16 3 4 13 7 20 13 10 13 4 2 13 11 22 13 10 13 8 13 10 13
3,64,24,1,4,6,3,1,0,a4182dc222675b84ad037cccb1510e4487070262,6a5bf6e68f2f29a76063631d3948239674925d43,burau-experiments/src/kernel_db.json,20,20 13 20 16 12 8 13 7 11 13 10 13 8 2 13 20 17 13 10 13 4 13 10 13
3,64,24,17,13,36,3,1,0,a4182dc222675b84ad037cccb1510e4487070262,88680d7be1ae9dcf8eb521c1f1cb972e010438ec,burau-experiments/src/kernel_db.json,20 13 20 16 12 8 13 7 11 13 10 13 8 2 13 20 17,20 13 20 16 12 8 13 7 11 13 10 13 8 2 13 20 17 13 10 13 4 13 10 13
3,66,24,1,4,6,3,1,0,697b9a623f618bb6a8545bdb52bd1b6c074a58df,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,burau-experiments/src/kernel_db.json,11,11 13 7 10 13 4 13 11 13 21 21 10 13 8 16 13 20 13 10 13 4 2 2 13
3,67,24,1,4,6,3,1,0,e73bf6e1d81275da0c37a0f3fda2a19c4fc4e916,6a5bf6e68f2f29a76063631d3948239674925d43,burau-experiments/src/kernel_db.json,20,20 13 7 10 13 8 13 20 13 21 21 10 13 4 16 13 11 13 10 13 8 2 2 13
3,68,24,1,4,6,3,1,0,f3a1a62cb9e229b0f3580857139173bcf4cd1e37,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,11,11 13 10 13 4 13 7 11 13 10 2 2 13 4 13 20 13 10 16 13 8 13 21 21
3,69,24,1,4,6,3,1,0,79bcd5e3b66b6ec20617957c3d6c4e6b880f7d82,6a5bf6e68f2f29a76063631d3948239674925d43,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,20,20 13 10 13 8 13 7 20 13 10 2 2 13 8 13 11 13 10 16 13 4 13 21 21
3,72,24,1,4,6,3,1,0,b4617785c4b2677a7e27f46a9775294b5e7eca26,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,11,11 13 10 13 4 13 21 11 13 7 10 16 13 4 13 20 13 10 2 13 8 16 13 7
3,73,24,1,4,6,3,1,0,4a2101e426e4e3d1b0e99725d545ae327b9b0caa,6a5bf6e68f2f29a76063631d3948239674925d43,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,20,20 13 10 13 8 13 21 20 13 7 10 16 13 8 13 11 13 10 2 13 4 16 13 7
3,76,24,1,4,6,3,1,0,4939c71b954d06bf2a663bea1a44e31212365ae6,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,11,11 13 10 13 6 8 13 21 20 13 10 13 8 16 13 11 19 7 4 13 4 13 10 13
3,77,24,1,4,6,3,1,0,d23f75fda3cf4c2a65196e4b56ec750ba3975009,6a5bf6e68f2f29a76063631d3948239674925d43,burau-experiments/src/kernel_db.json,20,20 13 10 13 1 4 13 21 11 13 10 13 4 16 13 20 15 7 8 13 8 13 10 13
3,80,24,1,4,6,3,1,0,4345810b8d5089dcd4faf80ab6f1eaec5bac14bb,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,burau-experiments/src/kernel_db.json,11,11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21
3,80,24,8,14,37,3,1,0,4345810b8d5089dcd4faf80ab6f1eaec5bac14bb,8e5b9b75533a6c13530e48427e07e72c9405a9d2,burau-experiments/src/kernel_db.json,11 22 13 10 13 8 13 21,11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21
3,80,24,16,14,47,3,1,0,4345810b8d5089dcd4faf80ab6f1eaec5bac14bb,98ac80f4400ca177a19fee5a2c72fe7c11c7a016,burau-experiments/src/kernel_db.json,11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21,11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21 11 22 13 10 13 8 13 21
3,81,24,1,4,6,3,1,0,663c20b1395b611813f37c7214d2ed4d656adde3,6a5bf6e68f2f29a76063631d3948239674925d43,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,20,20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21
3,81,24,8,14,39,3,1,0,663c20b1395b611813f37c7214d2ed4d656adde3,c0f2989dec80c702736cc7ba29b0f77e1727d612,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,20 17 13 10 13 4 13 21,20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21
3,81,24,16,14,51,3,1,0,663c20b1395b611813f37c7214d2ed4d656adde3,8f0d529873739faa7987a776719de6d9ffa31469,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21,20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21
3,85,24,1,4,6,3,1,0,908f37919693d8e8e10b402d242001e2ead8630d,6a5bf6e68f2f29a76063631d3948239674925d43,burau-experiments/src/kernel_db.json,20,20 15 7 8 13 8 13 10 13 20 13 10 13 1 4 13 21 11 13 10 13 4 16 13
3,86,24,1,4,6,3,1,0,dd4811877781d338fb6ee9c086319366ba19d167,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,burau-experiments/src/kernel_db.json,11,11 19 7 4 13 4 13 10 13 11 13 10 13 6 8 13 21 20 13 10 13 8 16 13
3,93,24,5,10,30,3,1,0,ec666d54f197c7d4ff1277ac24b8e4f545048b4f,173c815e246112166ec9f863b756cb72ec69b1f9,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 11 13 10 13,13 11 13 10 13 6 8 13 21 20 13 10 13 8 16 13 11 19 7 4 13 4 13 10
3,94,24,5,10,31,3,1,0,a2c751831bd0210a912789527b297c2e03e25c44,23cae0cd366d37f126254d81a1464a455f4f8338,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 20 13 10 13,13 20 13 10 13 1 4 13 21 11 13 10 13 4 16 13 20 15 7 8 13 8 13 10
3,95,24,1,4,6,3,1,0,20c6cf4ffafd1cc66eb36f31b9309a8d08f40969,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,burau-experiments/src/kernel_db.json,11,11 13 10 13 4 16 13 20 15 7 8 13 8 13 10 13 20 13 10 13 1 4 13 21
3,96,24,1,4,6,3,1,0,2ddc6350d61821a67161cc26cf127e5621819417,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,burau-experiments/src/kernel_db.json,11,11 13 10 13 8 2 13 20 17 13 10 13 4 13 10 13 20 13 20 16 12 8 13 7
3,97,24,1,4,6,3,1,0,53c3b1959170e968db46efac34ab8a3922ab3dc1,6a5bf6e68f2f29a76063631d3948239674925d43,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,20,20 13 10 13 4 2 13 11 22 13 10 13 8 13 10 13 11 13 11 16 3 4 13 7
3,98,24,21,7,17,3,1,0,008d96173ec8029daef958c168f9b3a821870e30,c23cb97d7ad5cebbb544c76fa2625870c11f850b,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,10 13 11 13 11 16 3 4 13 7 20 13 10 13 4 2 13 11 22 13 10,10 13 11 13 11 16 3 4 13 7 20 13 10 13 4 2 13 11 22 13 10 13 8 13
