parent_id,action,child_id
131,13,1486
131,6,1731
131,17,1993
131,16,2257
131,8,2497
131,2,2739
132,13,383
132,22,581
132,4,781
132,1,1046
132,3,1265
132,19,1507
132,12,1748
132,16,2031
132,2,2205
132,18,2448
132,5,2689
133,13,398
133,16,574
133,15,794
133,2,1079
133,9,1277
133,6,1541
133,17,1783
133,14,2025
133,8,2289
133,3,2553
133,12,2796
134,12,450
134,2,600
134,16,796
134,13,1016
134,3,1325
135,2,620
135,3,1086
135,13,1415
135,12,1590
135,16,1943
136,16,406
136,2,599
136,12,804
136,3,1000
136,13,1200
137,9,362
137,6,565
137,8,766
138,6,2472
138,9,3438
138,8,4561
139,4,419
139,18,705
139,1,905
140,16,348
140,2,610
140,12,912
140,3,1194
140,13,1373
141,2,349
141,16,680
141,12,877
141,3,1077
141,13,1209
142,16,578
142,2,906
142,3,1240
142,13,1570
142,12,1903
143,13,808
143,16,1248
143,2,1798
143,12,2454
143,3,3007
144,8,443
144,6,551
144,9,772
145,8,407
145,9,655
145,2,963
145,6,1184
145,3,1448
145,12,1691
145,15,1933
145,13,2175
145,14,2417
145,16,2636
145,17,2878
146,6,491
146,8,736
146,9,974
147,8,396
147,9,506
147,6,768
148,2,1627
148,16,2948
148,6,4265
148,9,5802
148,17,7211
148,8,8421
148,15,9742
149,1,477
149,4,584
149,18,760
150,9,472
150,6,1041
150,8,1107
151,9,306
151,8,568
151,6,803
152,3,346
152,13,569
152,16,770
152,12,1009
152,2,1246
153,8,286
153,6,527
153,9,769
154,4,343
154,1,625
154,18,805
155,12,486
155,19,728
155,13,969
155,16,1211
155,1,1453
155,2,1695
155,22,1916
155,5,2179
155,4,2421
155,18,2663
155,3,2906
156,8,412
156,9,676
156,6,874
157,3,359
157,13,555
157,2,757
157,16,958
157,12,1156
158,14,338
158,13,557
158,15,863
158,12,1150
158,17,1391
158,6,1610
158,9,1809
158,2,2099
158,3,2295
158,16,2535
158,8,2757
159,1,516
159,18,819
159,4,1171
160,13,460
160,2,566
160,16,783
160,3,1022
160,12,1259
161,9,731
161,20,1261
161,7,1922
161,4,2363
161,10,3002
161,21,3554
161,8,3993
161,1,4541
161,6,5202
161,18,5752
161,11,6303
162,3,288
162,2,617
162,12,838
162,13,1169
162,16,1389
163,6,1205
163,9,1732
163,8,2280
164,12,333
164,13,685
164,2,837
164,3,1102
164,16,1366
165,1,571
165,18,900
165,4,1232
166,21,328
166,1,589
166,10,892
166,11,1090
166,4,1336
166,6,1575
166,18,1819
166,20,2081
166,8,2299
166,9,2541
166,7,2761
167,18,743
167,4,1316
167,1,1957
168,9,358
168,4,611
168,1,919
168,6,1051
168,7,1339
168,20,1625
168,10,1845
168,18,2021
168,11,2328
168,21,2571
168,8,2834
169,13,910
169,3,1572
169,12,2229
169,2,2778
169,16,3349
170,16,594
170,12,879
170,13,1276
170,2,1539
170,3,1802
171,8,275
171,6,534
171,9,779
172,16,462
172,12,660
172,3,902
172,13,1120
172,2,1362
173,6,431
173,8,560
173,9,756
174,9,391
174,6,657
174,8,921
175,1,562
175,4,915
175,18,1249
176,13,304
176,16,514
176,12,759
176,2,1002
176,3,1243
177,9,354
177,7,509
177,20,750
177,11,1057
177,6,1255
177,8,1519
177,18,1717
177,1,1960
177,10,2223
177,21,2465
177,4,2707
178,8,712
178,6,1045
178,9,1375
179,9,1568
179,6,2803
179,18,3905
179,1,5224
179,20,6435
179,4,7643
179,7,8742
179,10,9843
180,7,430
180,21,537
180,8,754
180,9,994
180,1,1260
180,18,1676
180,6,1920
180,10,2165
180,20,2405
180,4,2579
180,11,2823
181,4,1196
181,1,1724
181,18,2277
182,8,266
182,4,597
182,9,749
182,10,992
182,18,1235
182,1,1476
182,21,1718
182,20,1959
182,7,2202
182,11,2445
182,6,2686
183,18,416
183,1,544
183,4,802
184,11,355
184,6,595
184,7,859
184,20,1124
184,9,1322
184,4,1543
184,18,1785
184,10,2092
184,8,2269
184,1,2510
184,21,2753
185,4,301
185,1,500
185,18,697
186,18,454
186,1,740
186,4,981
187,1,1141
187,18,1583
187,4,2266
188,9,392
188,8,524
188,6,723
189,2,518
189,13,999
189,3,1193
189,12,1526
189,16,1878
190,21,387
190,6,513
190,4,758
190,1,996
190,11,1236
190,8,1504
190,20,1727
190,18,1968
190,9,2213
190,7,2456
190,10,2698
191,18,427
191,1,721
191,3,941
191,16,1073
191,22,1361
191,2,1603
191,12,1911
191,5,2109
191,19,2373
191,4,2614
191,13,2900
192,9,373
192,8,658
192,6,790
193,4,1710
193,1,3270
193,18,4810
194,13,538
194,12,975
194,16,1377
194,2,1641
194,3,2039
195,8,321
195,9,540
195,6,717
196,9,455
196,21,726
196,20,965
196,6,1202
196,8,1467
196,4,1682
196,1,1923
196,7,2098
196,10,2293
196,11,2558
196,18,2780
197,9,483
197,6,682
197,8,814
198,1,319
198,18,604
198,4,869
199,6,420
199,8,661
199,9,903
200,9,532
200,6,865
200,8,1285
201,3,463
201,2,662
201,13,927
201,16,1081
201,12,1345
202,16,652
202,2,1026
202,13,1349
202,12,1707
202,3,2036
203,9,267
203,14,641
203,6,882
203,16,1080
203,13,1344
203,2,1586
203,17,1807
203,12,1981
203,8,2247
203,15,2488
203,3,2731
204,22,469
204,12,687
204,2,951
204,16,1105
204,19,1347
204,18,1588
204,4,1853
204,3,2076
204,5,2383
204,1,2668
204,13,2910
205,18,482
205,4,696
205,1,978
206,6,314
206,8,533
206,9,733
207,12,1636
207,3,2876
207,16,4126
207,13,5424
207,2,6656
208,21,732
208,7,1283
208,20,1833
208,18,2384
208,10,3261
208,8,3703
208,9,4121
208,6,4649
208,11,5199
208,4,5749
208,1,6319
209,13,424
209,3,626
209,2,844
209,16,1170
209,12,1390
210,8,654
210,9,1075
210,6,1450
211,6,347
211,9,498
211,8,738
212,9,413
212,8,547
212,6,812
213,1,475
213,4,677
213,18,876
214,22,414
214,16,634
214,1,871
214,18,1134
214,4,1378
214,3,1598
214,13,1861
214,12,2125
214,2,2409
214,19,2629
214,5,2893
215,6,494
215,8,1072
215,9,1292
216,2,307
216,16,572
216,12,831
216,3,1033
216,13,1231
217,2,315
217,16,515
217,13,735
217,12,931
217,3,1129
218,3,470
218,13,690
218,16,938
218,12,1109
218,2,1350
219,7,282
219,9,525
219,20,813
219,10,1095
219,8,1290
219,6,1532
219,11,1792
219,4,1989
219,1,2206
219,21,2447
219,18,2690
220,18,308
220,4,570
220,1,836
221,11,309
221,10,553
221,1,773
221,7,991
221,8,1233
221,9,1475
221,20,1740
221,4,1982
221,18,2201
221,21,2443
221,6,2685
222,3,1220
222,13,1435
222,2,1987
222,12,2649
222,16,3201
223,4,377
223,1,618
223,18,971
224,4,375
224,18,727
224,1,970
225,6,446
225,9,489
225,8,691
226,20,753
226,1,1527
226,10,2168
226,9,2524
226,4,3006
226,8,3576
226,21,4104
226,6,4654
226,7,5248
226,11,5797
226,18,6349
227,4,360
227,1,580
227,18,774
228,1,777
228,18,1108
228,4,1327
229,9,504
229,21,741
229,20,890
229,10,1067
229,6,1281
229,18,1523
229,7,1764
229,11,2006
229,4,2248
229,8,2490
229,1,2733
230,2,437
230,12,630
230,3,832
230,16,1048
230,13,1201
231,2,521
231,16,807
231,13,1114
231,12,1447
231,3,1778
232,4,765
232,18,964
232,1,1404
233,9,561
233,8,983
233,6,1424
234,1,296
234,7,692
234,18,908
234,10,1060
234,4,1280
234,6,1525
234,11,1749
234,21,1990
234,20,2255
234,9,2500
234,8,2742
235,18,293
235,4,495
235,1,693
236,10,746
236,6,1011
236,11,1341
236,18,1670
236,7,2000
236,21,2330
236,8,2660
236,1,2990
236,20,3322
236,4,3652
236,9,3982
237,8,497
237,10,744
237,6,854
237,4,1028
237,7,1317
237,9,1580
237,21,1889
237,20,2153
237,11,2395
237,1,2658
237,18,2856
238,4,415
238,18,613
238,1,878
239,2,394
239,16,546
239,13,784
239,12,1025
239,3,1314
240,3,636
240,2,1032
240,13,1364
240,12,1628
240,16,1958
241,9,365
241,7,536
241,10,829
241,4,1066
241,11,1332
241,18,1549
241,8,1770
241,1,1988
241,20,2227
241,21,2491
241,6,2732
242,19,505
242,1,702
242,13,924
242,12,1208
242,3,1469
242,16,1689
242,18,1907
242,22,2150
242,4,2370
242,2,2633
242,5,2875
243,3,464
243,12,683
243,2,947
243,16,1101
243,13,1387
244,16,465
244,3,573
244,2,815
244,12,1058
244,13,1278
245,9,310
245,2,575
245,16,817
245,17,1037
245,12,1279
245,13,1498
245,8,1784
245,3,2005
245,15,2224
245,6,2467
245,14,2708
246,6,2231
246,9,3465
246,8,4673
247,4,384
247,1,582
247,18,800
248,1,471
248,18,797
248,4,1128
249,4,466
249,1,668
249,18,872
250,8,405
250,9,730
250,6,972
251,13,445
251,2,603
251,12,886
251,16,1126
251,3,1368
252,16,481
252,13,607
252,12,810
252,3,1068
252,2,1267
253,3,410
253,2,649
253,12,828
253,13,1027
253,16,1159
254,6,694
254,21,1358
254,20,2236
254,8,2785
254,10,3249
254,11,3580
254,4,4151
254,9,4569
254,18,5096
254,1,5646
254,7,6196
255,6,645
255,8,887
255,9,1304
256,12,274
256,17,588
256,13,868
256,3,1174
256,16,1437
256,14,1634
256,15,1852
256,2,2160
256,9,2425
256,6,2556
256,8,2799
257,16,2244
257,13,3343
257,12,4375
257,2,5342
257,3,6750
258,1,327
258,18,592
258,4,788
259,16,436
259,18,591
259,1,835
259,13,1031
259,2,1268
259,4,1489
259,12,1725
259,3,1967
259,22,2228
259,5,2469
259,19,2736
260,2,277
260,16,545
260,12,764
260,3,1006
260,13,1272
261,2,502
261,16,698
261,12,847
261,13,1157
261,3,1400
262,4,439
262,1,638
262,18,703
263,9,279
263,6,559
263,8,851
264,7,418
264,11,637
264,6,858
264,8,1056
264,9,1406
264,4,1623
264,18,1821
264,10,2084
264,21,2304
264,20,2589
264,1,2787
265,8,1123
265,6,1827
265,9,2774
266,3,5105
266,16,8053
267,1,4930
267,18,7130
268,2,2323
268,12,3378
268,16,4500
268,13,5533
268,3,6965
269,4,606
269,21,778
269,6,1175
269,11,1576
269,20,1839
269,9,2239
269,8,2569
269,7,2833
269,10,3164
269,18,3494
269,1,3956
270,1,821
270,18,1374
270,4,1810
271,2,511
271,13,848
271,16,1310
271,3,1577
271,12,1773
272,12,761
272,13,961
272,16,1183
272,3,1666
272,2,1995
273,8,1632
273,20,2867
273,9,4009
273,1,5461
273,10,6915
273,11,8389
273,7,9578
274,9,5531
274,6,7510
274,8,9933
275,16,1480
275,3,2279
275,12,3028
275,13,3797
